Timestamp,gender,major,year,"do you have some thing that already takes up most of your available free time ?(work, health condition etc.)",did you used to go out/have free time before university started?,how much free time did you have before starting university?(on avg.),how did that change after joining university?,what (if anything) did you have to give up when university started because of the lack of time?,how long do you spend studying daily?,do you feel as that your major compared to other majors impacts your access to free time ?,how long is your commute to university?,how long does university as a whole take up from your time?
4/5/2026 16:34:15,male,computer science,2,yes,yes,more than 4 hrs / all the free time you wanted,decreased alot,training / gym,3 or more hrs,No,less than 30 mins,most of the day
4/5/2026 16:34:31,Female,computer science,2,yes,yes,3-4 hrs a day / going out or going to the gym regularly,decreased slightly,training / gym,2 hrs,Yes,1 hr,most of the day
4/5/2026 16:35:12,male,computer science,2,yes,yes,1-2 hrs a day / doing something you like or having me time,decreased alot,training / gym,3 or more hrs,Yes,2 or more hrs,most of the day
4/5/2026 16:36:26,Female,computer science,2,no,yes,3-4 hrs a day / going out or going to the gym regularly,decreased alot,hobbies,1 hr,Yes,1 hr,most of the day
4/5/2026 16:37:25,Female,computer science,2,yes,yes,3-4 hrs a day / going out or going to the gym regularly,stayed the same,hobbies,3 or more hrs,Yes,1 hr,most of the day
4/5/2026 16:37:38,male,computer science,2,yes,no,1-2 hrs a day / doing something you like or having me time,stayed the same,nothing,2 hrs,Yes,2 or more hrs,most of the day
4/5/2026 16:38:22,Female,computer science,2,no,no,0 hrs / no time at all,decreased alot,I cut back on things but didn't give them up fully,1 hr,Yes,1 hr,most of the day
4/5/2026 16:38:23,Female,business informatics,2,no,yes,3-4 hrs a day / going out or going to the gym regularly,decreased slightly,I cut back on things but didn't give them up fully,don't study unless it's for a test,No,2 or more hrs,most of the day
4/5/2026 16:45:24,male,computer science,2,yes,yes,3-4 hrs a day / going out or going to the gym regularly,decreased alot,hobbies,2 hrs,Yes,1 hr,most of the day
4/5/2026 16:45:28,Female,computer science,2,no,yes,3-4 hrs a day / going out or going to the gym regularly,decreased alot,training / gym,don't study unless it's for a test,Yes,1 hr,most of the day
4/5/2026 16:46:06,male,computer science,2,yes,yes,3-4 hrs a day / going out or going to the gym regularly,decreased alot,I cut back on things but didn't give them up fully,don't study unless it's for a test,No,1 hr,most of the day
4/5/2026 16:49:20,Female,computer science,2,yes,yes,more than 4 hrs / all the free time you wanted,decreased alot,training / gym,3 or more hrs,Yes,less than 30 mins,most of the day
4/5/2026 16:50:17,Female,computer science,2,yes,yes,more than 4 hrs / all the free time you wanted,decreased alot,hobbies,don't study unless it's for a test,Yes,1 hr,all day
4/5/2026 16:55:02,Female,computer science,2,yes,yes,3-4 hrs a day / going out or going to the gym regularly,decreased alot,other,3 or more hrs,Yes,1 hr,just the half when I'm in university
4/5/2026 16:55:48,male,computer science,2,yes,no,3-4 hrs a day / going out or going to the gym regularly,decreased alot,nothing,1 hr,No,1 hr,just the half when I'm in university
